Kommunenummer,Kommune,Befolkning
3101,Halden,32082
3103,Moss,53207
3105,Sarpsborg,60614
3107,Fredrikstad,86243
3110,Hvaler,4714
3112,Råde,7892
3114,Våler (Østfold),6229
3116,Skiptvet,3940
3118,Indre Østfold,47943
3120,Rakkestad,8583
3122,Marker,3647
3124,Aremark,1354
3201,Bærum,133228
3203,Asker,101509
3205,Lillestrøm,96771
3207,Nordre Follo,65381
3209,Ullensaker,45982
3212,Nesodden,21005
3214,Frogn,16429
3216,Vestby,20167
3218,Ås,22725
3220,Enebakk,11697
3222,Lørenskog,51511
3224,Rælingen,20904
3226,Aurskog-Høland,18458
3228,Nes,24948
3230,Gjerdrum,7478
3232,Nittedal,26032
3234,Lunner,9463
3236,Jevnaker,7040
3238,Nannestad,16662
3240,Eidsvoll,28739
3242,Hurdal,3078
301,Oslo - Oslove,728714
3301,Drammen,106013
3303,Kongsberg,29169
3305,Ringerike,31942
3310,Hole,7205
3312,Lier,28797
3314,Øvre Eiker,20965
3316,Modum,14776
3318,Krødsherad,2276
3320,Flå,1122
3322,Nesbyen,3234
3324,Gol,4902
3326,Hemsedal,2707
3328,Ål,5106
3330,Hol,4552
3332,Sigdal,3514
3334,Flesberg,2790
3336,Rollag,1452
3338,Nore og Uvdal,2459
3401,Kongsvinger,18191
3403,Hamar,33817
3405,Lillehammer,29669
3407,Gjøvik,31350
3411,Ringsaker,36199
3412,Løten,7951
3413,Stange,21839
3414,Nord-Odal,4978
3415,Sør-Odal,8165
3416,Eidskog,6103
3417,Grue,4463
3418,Åsnes,7216
3419,Våler (Innlandet),3614
3420,Elverum,21937
3421,Trysil,6474
3422,Åmot,4191
3423,Stor-Elvdal,2239
3424,Rendalen,1836
3425,Engerdal,1287
3426,Tolga,1609
3427,Tynset,5762
3428,Alvdal,2492
3429,Folldal,1525
3430,Os,1871
3431,Dovre,2523
3432,Lesja,1966
3433,Skjåk,2185
3434,Lom,2239
3435,Vågå,3553
