Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Kommunenavn norsk
3,Oslo,301,Oslo,Oslo
11,Rogaland,1101,Eigersund,Eigersund
11,Rogaland,1103,Stavanger,Stavanger
11,Rogaland,1106,Haugesund,Haugesund
11,Rogaland,1108,Sandnes,Sandnes
11,Rogaland,1111,Sokndal,Sokndal
11,Rogaland,1112,Lund,Lund
11,Rogaland,1114,Bjerkreim,Bjerkreim
11,Rogaland,1119,Hå,Hå
11,Rogaland,1120,Klepp,Klepp
11,Rogaland,1121,Time,Time
11,Rogaland,1122,Gjesdal,Gjesdal
11,Rogaland,1124,Sola,Sola
11,Rogaland,1127,Randaberg,Randaberg
11,Rogaland,1130,Strand,Strand
11,Rogaland,1133,Hjelmeland,Hjelmeland
11,Rogaland,1134,Suldal,Suldal
11,Rogaland,1135,Sauda,Sauda
11,Rogaland,1144,Kvitsøy,Kvitsøy
11,Rogaland,1145,Bokn,Bokn
11,Rogaland,1146,Tysvær,Tysvær
11,Rogaland,1149,Karmøy,Karmøy
11,Rogaland,1151,Utsira,Utsira
11,Rogaland,1160,Vindafjord,Vindafjord
15,Møre og Romsdal,1505,Kristiansund,Kristiansund
15,Møre og Romsdal,1506,Molde,Molde
15,Møre og Romsdal,1508,Ålesund,Ålesund
15,Møre og Romsdal,1511,Vanylven,Vanylven
15,Møre og Romsdal,1514,Sande,Sande
15,Møre og Romsdal,1515,Herøy (Møre og Romsdal),Herøy (Møre og Romsdal)
15,Møre og Romsdal,1516,Ulstein,Ulstein
15,Møre og Romsdal,1517,Hareid,Hareid
15,Møre og Romsdal,1520,Ørsta,Ørsta
15,Møre og Romsdal,1525,Stranda,Stranda
15,Møre og Romsdal,1528,Sykkylven,Sykkylven
15,Møre og Romsdal,1531,Sula,Sula
15,Møre og Romsdal,1532,Giske,Giske
15,Møre og Romsdal,1535,Vestnes,Vestnes
15,Møre og Romsdal,1539,Rauma,Rauma
15,Møre og Romsdal,1547,Aukra,Aukra
15,Møre og Romsdal,1554,Averøy,Averøy
15,Møre og Romsdal,1557,Gjemnes,Gjemnes
15,Møre og Romsdal,1560,Tingvoll,Tingvoll
15,Møre og Romsdal,1563,Sunndal,Sunndal
15,Møre og Romsdal,1566,Surnadal,Surnadal
15,Møre og Romsdal,1573,Smøla,Smøla
15,Møre og Romsdal,1576,Aure,Aure
15,Møre og Romsdal,1577,Volda,Volda
15,Møre og Romsdal,1578,Fjord,Fjord
15,Møre og Romsdal,1579,Hustadvika,Hustadvika
15,Møre og Romsdal,1580,Haram,Haram
18,Nordland,1804,Bodø,Bodø
18,Nordland,1806,Narvik,Narvik
18,Nordland,1811,Bindal,Bindal
18,Nordland,1812,Sømna,Sømna
18,Nordland,1813,Brønnøy,Brønnøy
18,Nordland,1815,Vega,Vega
18,Nordland,1816,Vevelstad,Vevelstad
18,Nordland,1818,Herøy (Nordland),Herøy (Nordland)
18,Nordland,1820,Alstahaug,Alstahaug
18,Nordland,1822,Leirfjord,Leirfjord
18,Nordland,1824,Vefsn,Vefsn
18,Nordland,1825,Grane,Grane
18,Nordland,1826,Aarborte - Hattfjelldal,Hattfjelldal
18,Nordland,1827,Dønna,Dønna
18,Nordland,1828,Nesna,Nesna
18,Nordland,1832,Hemnes,Hemnes
18,Nordland,1833,Rana,Rana
18,Nordland,1834,Lurøy,Lurøy
18,Nordland,1835,Træna,Træna
18,Nordland,1836,Rødøy,Rødøy
18,Nordland,1837,Meløy,Meløy
18,Nordland,1838,Gildeskål,Gildeskål
18,Nordland,1839,Beiarn,Beiarn
18,Nordland,1840,Saltdal,Saltdal
18,Nordland,1841,Fauske - Fuossko,Fauske
18,Nordland,1845,Sørfold,Sørfold
18,Nordland,1848,Steigen,Steigen
18,Nordland,1851,Lødingen,Lødingen
18,Nordland,1853,Evenes - Evenášši,Evenes
18,Nordland,1856,Røst,Røst
18,Nordland,1857,Værøy,Værøy
18,Nordland,1859,Flakstad,Flakstad
18,Nordland,1860,Vestvågøy,Vestvågøy
18,Nordland,1865,Vågan,Vågan
18,Nordland,1866,Hadsel,Hadsel
18,Nordland,1867,Bø,Bø
18,Nordland,1868,Øksnes,Øksnes
18,Nordland,1870,Sortland - Suortá,Sortland
18,Nordland,1871,Andøy,Andøy
18,Nordland,1874,Moskenes,Moskenes
18,Nordland,1875,Hábmer - Hamarøy,Hamarøy
31,Østfold,3101,Halden,Halden
31,Østfold,3103,Moss,Moss
31,Østfold,3105,Sarpsborg,Sarpsborg
31,Østfold,3107,Fredrikstad,Fredrikstad
31,Østfold,3110,Hvaler,Hvaler
31,Østfold,3112,Råde,Råde
